"comment_id","post_id","company_name","like_num","word_count","comment_count","unix_time","happy","angry","excited","sad","fear","bored"
"10154688034006078_10154697929396078","7003656077_10154688034006078","AmericanAirlines",3262,4,0,1503338207,0.043238942,0.028734193,0.081445335,0.157995979,0.621268523,0.067317028
"10154688034006078_10154698279066078","7003656077_10154688034006078","AmericanAirlines",3262,90,0,1503347393,0.017191925,0.395531417,0.043719853,0.336974902,0.124947554,0.081634348
"10154688034006078_10154698424731078","7003656077_10154688034006078","AmericanAirlines",3262,18,0,1503351083,0.033379484,0.49897297,0.032900807,0.128910523,0.084533481,0.221302736
"10154688034006078_10154698702986078","7003656077_10154688034006078","AmericanAirlines",3262,24,0,1503356870,0.333133346,0.260821988,0.130974469,0.126834187,0.124241856,0.023994155
"10154688034006078_10154698769956078","7003656077_10154688034006078","AmericanAirlines",3262,10,0,1503358261,0.499597872,0.020675631,0.359861558,0.020992942,0.049597329,0.049274669
"10154688034006078_10154699608671078","7003656077_10154688034006078","AmericanAirlines",3262,55,0,1503386667,0.024075385,0.196317487,0.018217866,0.468394291,0.260642475,0.032352496
"10154688034006078_10154699665791078","7003656077_10154688034006078","AmericanAirlines",3262,52,0,1503389345,0.028796593,0.340357824,0.026723401,0.302828277,0.176626089,0.124667816
"10154688034006078_10154701096061078","7003656077_10154688034006078","AmericanAirlines",3262,74,0,1503441359,0.015252935,0.301952943,0.027424098,0.355288774,0.276590658,0.02349059
"10154688034006078_10154702098391078","7003656077_10154688034006078","AmericanAirlines",3262,149,0,1503469213,0.043806081,0.529747357,0.060893455,0.214054237,0.127155461,0.024343409
"10154688034006078_10154703500511078","7003656077_10154688034006078","AmericanAirlines",3262,1,0,1503526409,0.546333296,0.030767515,0.228411782,0.082515668,0.089700206,0.022271533
"10154688034006078_10154703548826078","7003656077_10154688034006078","AmericanAirlines",3262,40,0,1503528362,0.521945555,0.052540708,0.272815383,0.049427272,0.069227065,0.034044017
"10154688034006078_10154703639616078","7003656077_10154688034006078","AmericanAirlines",3262,39,0,1503531020,0.101863366,0.170510451,0.075752786,0.389040289,0.262833108,0
"10154688034006078_10154705225711078","7003656077_10154688034006078","AmericanAirlines",3262,46,0,1503590512,0.057369225,0.49326941,0.067500324,0.208088742,0.1737723,0
"10154688034006078_10154705317181078","7003656077_10154688034006078","AmericanAirlines",3262,6,0,1503593515,0.006586234,0.475051551,0.010382856,0.281611759,0.175609287,0.050758313
"10154688034006078_10154705318716078","7003656077_10154688034006078","AmericanAirlines",3262,9,0,1503593605,0.022019266,0.495874263,0.024347634,0.284334695,0.118827762,0.05459638
"10154688034006078_10154705991811078","7003656077_10154688034006078","AmericanAirlines",3262,53,0,1503611421,0.399618705,0.080490741,0.222292856,0.09202961,0.1739769,0.031591188
"10154688034006078_10154706378771078","7003656077_10154688034006078","AmericanAirlines",3262,17,0,1503624146,0.173563662,0.061268632,0.157101363,0.086348557,0.504628723,0.017089063
"10154688034006078_10154707455841078","7003656077_10154688034006078","AmericanAirlines",3262,20,0,1503663264,0.020735259,0.294422969,0.032304409,0.410582031,0.227372309,0.014583023
"10154688034006078_10154707945556078","7003656077_10154688034006078","AmericanAirlines",3262,11,0,1503686296,0.018753934,0.299844563,0.034818907,0.357992694,0.115388091,0.17320181
"10154688034006078_10154708782461078","7003656077_10154688034006078","AmericanAirlines",3262,77,0,1503711816,0.016133913,0.66589345,0.012677602,0.215739279,0.07613194,0.013423816
"10154688034006078_10154712380181078","7003656077_10154688034006078","AmericanAirlines",3262,5,0,1503846102,0.010621487,0.596688035,0.057437298,0.134713646,0.081221401,0.119318133
"10154688034006078_10154712505951078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1503852294,0.196584367,0.104959973,0.361790687,0.084110055,0.170068309,0.082486609
"10154688034006078_10154712909141078","7003656077_10154688034006078","AmericanAirlines",3262,196,0,1503863677,0.113062878,0.281192093,0.205474702,0.177666106,0.15396143,0.068642791
"10154688034006078_10154714503421078","7003656077_10154688034006078","AmericanAirlines",3262,250,0,1503916022,0.220824112,0.351745177,0.208071885,0.101505397,0.117853429,0
"10154688034006078_10154715984016078","7003656077_10154688034006078","AmericanAirlines",3262,5,0,1503971261,0.191274336,0.215471964,0.183993713,0.137620676,0.152569938,0.119069374
"10154688034006078_10154718527851078","7003656077_10154688034006078","AmericanAirlines",3262,338,0,1504057300,0.021001952,0.516471083,0.055796164,0.254514005,0.109623858,0.042592937
"10154688034006078_10154720689946078","7003656077_10154688034006078","AmericanAirlines",3262,44,0,1504129155,0.009417713,0.618589685,0.025259203,0.218199922,0.110062904,0.018470574
"10154688034006078_10154722796216078","7003656077_10154688034006078","AmericanAirlines",3262,7,0,1504200413,0.055791353,0.517619308,0.027805822,0.253394131,0.087869743,0.057519642
"10154688034006078_10154723266056078","7003656077_10154688034006078","AmericanAirlines",3262,14,0,1504214355,0.0080054,0.69410632,0.011853595,0.199786648,0.069735723,0.016512314
"10154688034006078_10154723575671078","7003656077_10154688034006078","AmericanAirlines",3262,38,0,1504224195,0.01813494,0.60298143,0.032415288,0.235339028,0.094720499,0.016408815
"10154698577271078_10154698588191078","7003656077_10154698577271078","AmericanAirlines",444,10,0,1503354286,0.026974522,0.129934741,0.087891351,0.38202049,0.312995149,0.060183748
"10154698577271078_10154698599026078","7003656077_10154698577271078","AmericanAirlines",444,11,2,1503354538,0.339524677,0.073659061,0.301403163,0.108771889,0.176641211,0
"10154698577271078_10154698606916078","7003656077_10154698577271078","AmericanAirlines",444,7,1,1503354732,0.003540186,0.427818577,0.006641473,0.204687343,0.146470967,0.210841454
"10154698577271078_10154699015236078","7003656077_10154698577271078","AmericanAirlines",444,2,0,1503366472,0.347947888,0.207488622,0.303748106,0.028544765,0.086812964,0.025457656
"10154698577271078_10154699342816078","7003656077_10154698577271078","AmericanAirlines",444,167,5,1503375179,0.037764965,0.118619427,0.047173379,0.400344945,0.372302883,0.023794401
"10154698577271078_10154699452451078","7003656077_10154698577271078","AmericanAirlines",444,16,0,1503379369,0.139177527,0.30523431,0.08947197,0.239288713,0.123501302,0.103326179
"10154698577271078_10154699526941078","7003656077_10154698577271078","AmericanAirlines",444,113,0,1503382674,0.011408142,0.595455792,0.015810165,0.244534037,0.093006997,0.039784868
